# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Day	All between Day	-16.6888602713	4.91036739759e-54	3.24084248241e-52	N/A	N/A
All within Day	18 vs. 18	0.287252109356	0.774058310042	1	N/A	N/A
All within Day	30 vs. 30	-2.94116741895	0.00344721253105	0.227516027049	N/A	N/A
All within Day	17 vs. 17	0.510373844709	0.609925605695	1	N/A	N/A
All within Day	6 vs. 6	-2.95452128943	0.00330435927715	0.218087712292	N/A	N/A
All within Day	18 vs. 30	-2.7268801131	0.00665033447474	0.438922075333	N/A	N/A
All within Day	18 vs. 17	-11.5021085761	1.58403829004e-27	1.04546527143e-25	N/A	N/A
All within Day	18 vs. 6	-4.31088278231	2.01022069384e-05	0.00132674565794	N/A	N/A
All within Day	30 vs. 17	-11.2372253307	1.82938128625e-26	1.20739164893e-24	N/A	N/A
All within Day	30 vs. 6	-5.71219916518	2.0619419189e-08	1.36088166647e-06	N/A	N/A
All within Day	17 vs. 6	-12.2276838062	1.64479079902e-30	1.08556192735e-28	N/A	N/A
All between Day	18 vs. 18	3.01422721449	0.00274040959347	0.180867033169	N/A	N/A
All between Day	30 vs. 30	-0.0406445759376	0.967599525944	1	N/A	N/A
All between Day	17 vs. 17	17.356903419	0.0	0.0	N/A	N/A
All between Day	6 vs. 6	-0.0495932784767	0.960471256693	1	N/A	N/A
All between Day	18 vs. 30	1.82549634462	0.0686534668871	1	N/A	N/A
All between Day	18 vs. 17	0.574397322353	0.565952224249	1	N/A	N/A
All between Day	18 vs. 6	0.310068173088	0.75666665791	1	N/A	N/A
All between Day	30 vs. 17	-0.0845281419769	0.932669698765	1	N/A	N/A
All between Day	30 vs. 6	-0.982005908217	0.326676048027	1	N/A	N/A
All between Day	17 vs. 6	-0.840000832311	0.401301525409	1	N/A	N/A
18 vs. 18	30 vs. 30	-1.65944217443	0.128015087225	1	N/A	N/A
18 vs. 18	17 vs. 17	-0.212794361378	0.831593121544	1	N/A	N/A
18 vs. 18	6 vs. 6	-1.7144504102	0.117214873695	1	N/A	N/A
18 vs. 18	18 vs. 30	-1.44365452869	0.164318567677	1	N/A	N/A
18 vs. 18	18 vs. 17	-4.05384541182	8.98777432399e-05	0.00593193105383	N/A	N/A
18 vs. 18	18 vs. 6	-1.9140027377	0.0700390274665	1	N/A	N/A
18 vs. 18	30 vs. 17	-2.80595722175	0.00585520620481	0.386443609517	N/A	N/A
18 vs. 18	30 vs. 6	-2.57397392151	0.0181170867285	1	N/A	N/A
18 vs. 18	17 vs. 6	-3.18350840521	0.00185349966548	0.122330977922	N/A	N/A
30 vs. 30	17 vs. 17	3.16577055873	0.00166221898488	0.109706453002	N/A	N/A
30 vs. 30	6 vs. 6	-0.0036475533466	0.997161419748	1	N/A	N/A
30 vs. 30	18 vs. 30	0.725729688253	0.476411780084	1	N/A	N/A
30 vs. 30	18 vs. 17	0.227283980204	0.820589696813	1	N/A	N/A
30 vs. 30	18 vs. 6	0.133444260722	0.895175646087	1	N/A	N/A
30 vs. 30	30 vs. 17	0.0168443191034	0.986588787494	1	N/A	N/A
30 vs. 30	30 vs. 6	-0.33407177054	0.741802990216	1	N/A	N/A
30 vs. 30	17 vs. 6	-0.163120334106	0.870698079737	1	N/A	N/A
17 vs. 17	6 vs. 6	-3.18045572607	0.00158217004	0.10442322264	N/A	N/A
17 vs. 17	18 vs. 30	-2.99095475315	0.00294479964486	0.194356776561	N/A	N/A
17 vs. 17	18 vs. 17	-12.3189333929	8.90844121028e-31	5.87957119878e-29	N/A	N/A
17 vs. 17	18 vs. 6	-4.63959459385	4.67141826439e-06	0.00030831360545	N/A	N/A
17 vs. 17	30 vs. 17	-11.8973487022	4.90520645892e-29	3.23743626289e-27	N/A	N/A
17 vs. 17	30 vs. 6	-6.10580860426	2.33025742759e-09	1.53796990221e-07	N/A	N/A
17 vs. 17	17 vs. 6	-12.9456949156	2.00790816746e-33	1.32521939052e-31	N/A	N/A
6 vs. 6	18 vs. 30	0.740547761919	0.467573436929	1	N/A	N/A
6 vs. 6	18 vs. 17	0.240295434805	0.81051125731	1	N/A	N/A
6 vs. 6	18 vs. 6	0.139998565917	0.890061425497	1	N/A	N/A
6 vs. 6	30 vs. 17	0.0248649869607	0.980203956251	1	N/A	N/A
6 vs. 6	30 vs. 6	-0.332578821387	0.742912921514	1	N/A	N/A
6 vs. 6	17 vs. 6	-0.155287429519	0.876855630092	1	N/A	N/A
18 vs. 30	18 vs. 17	-1.97534693203	0.0503471442379	1	N/A	N/A
18 vs. 30	18 vs. 6	-0.821740402502	0.417707791759	1	N/A	N/A
18 vs. 30	30 vs. 17	-1.63759240108	0.103925103427	1	N/A	N/A
18 vs. 30	30 vs. 6	-1.56490657968	0.128093516551	1	N/A	N/A
18 vs. 30	17 vs. 6	-2.01695781917	0.0457594771478	1	N/A	N/A
18 vs. 17	18 vs. 6	0.107548245328	0.91451985807	1	N/A	N/A
18 vs. 17	30 vs. 17	-0.554475611404	0.579792143458	1	N/A	N/A
18 vs. 17	30 vs. 6	-1.44664932361	0.150402044362	1	N/A	N/A
18 vs. 17	17 vs. 6	-1.27881675477	0.202250389292	1	N/A	N/A
18 vs. 6	30 vs. 17	-0.299401715946	0.765111696099	1	N/A	N/A
