# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleDepth	All between SampleDepth	-1.46732814644	0.143064840245	1	N/A	N/A
All within SampleDepth	11 vs. 11	-1.07764882331	[ 0.28636239]	1	N/A	N/A
All within SampleDepth	10 vs. 10	0.445691586617	0.656844874331	1	N/A	N/A
All within SampleDepth	16 vs. 16	0.125075299672	[ 0.90096547]	1	N/A	N/A
All within SampleDepth	15 vs. 15	1.66076437093	[ 0.10301985]	1	N/A	N/A
All within SampleDepth	3 vs. 3	3.15560612935	[ 0.0027117]	1	N/A	N/A
All within SampleDepth	9.5 vs. 9.5	0.599045204815	[ 0.55184742]	1	N/A	N/A
All within SampleDepth	14 vs. 14	-0.605387548077	[ 0.54765967]	1	N/A	N/A
All within SampleDepth	11 vs. 10	2.40264807372	0.0189713323473	1	N/A	N/A
All within SampleDepth	11 vs. 12	0.16103749487	0.8727000989	1	N/A	N/A
All within SampleDepth	11 vs. 10.5	1.95616885162	0.0559326720283	1	N/A	N/A
All within SampleDepth	11 vs. 7	-0.192301226362	0.848269939861	1	N/A	N/A
All within SampleDepth	11 vs. 16	1.10404490738	0.274561056873	1	N/A	N/A
All within SampleDepth	11 vs. 11.5	1.29495535838	0.201167479948	1	N/A	N/A
All within SampleDepth	11 vs. 8.5	0.0364839343786	0.971038920677	1	N/A	N/A
All within SampleDepth	11 vs. 15	-0.165461762105	0.86921007657	1	N/A	N/A
All within SampleDepth	11 vs. 3	-2.17897458228	0.0338002522708	1	N/A	N/A
All within SampleDepth	11 vs. 12.5	0.430608366915	0.668567568117	1	N/A	N/A
All within SampleDepth	11 vs. 10.8	0.570172301641	0.571064289661	1	N/A	N/A
All within SampleDepth	11 vs. 9.5	-0.376345618757	0.708162389259	1	N/A	N/A
All within SampleDepth	11 vs. 14	2.20824399128	0.0315752159235	1	N/A	N/A
All within SampleDepth	10 vs. 12	-0.769265056874	0.444804780673	1	N/A	N/A
All within SampleDepth	10 vs. 10.5	1.79464789584	0.0778329769573	1	N/A	N/A
All within SampleDepth	10 vs. 7	-1.28620129733	0.203397443774	1	N/A	N/A
All within SampleDepth	10 vs. 16	0.395283560585	0.693853054632	1	N/A	N/A
All within SampleDepth	10 vs. 11.5	1.8851311687	0.0643396373209	1	N/A	N/A
All within SampleDepth	10 vs. 8.5	-1.03528857297	0.304758993054	1	N/A	N/A
All within SampleDepth	10 vs. 15	-1.03787268823	0.302952806789	1	N/A	N/A
All within SampleDepth	10 vs. 3	-4.01518877551	0.000148939034796	0.684970621029	N/A	N/A
All within SampleDepth	10 vs. 12.5	-0.846525094652	0.400680434659	1	N/A	N/A
All within SampleDepth	10 vs. 10.8	-0.184561186318	0.854206162262	1	N/A	N/A
All within SampleDepth	10 vs. 9.5	-2.68081697947	0.00917896912345	1	N/A	N/A
All within SampleDepth	10 vs. 14	2.38608033373	0.0197775245256	1	N/A	N/A
All within SampleDepth	12 vs. 10.5	0.468629390842	[ 0.64137134]	1	N/A	N/A
All within SampleDepth	12 vs. 7	1.34599771987	[ 0.18437464]	1	N/A	N/A
All within SampleDepth	12 vs. 16	-0.26486204533	0.792183301229	1	N/A	N/A
All within SampleDepth	12 vs. 11.5	0.377680951025	[ 0.70726617]	1	N/A	N/A
All within SampleDepth	12 vs. 8.5	1.18783366475	[ 0.24051102]	1	N/A	N/A
All within SampleDepth	12 vs. 15	-0.497490436085	0.620981470796	1	N/A	N/A
All within SampleDepth	12 vs. 3	-2.80029600309	0.00719376444167	1	N/A	N/A
All within SampleDepth	12 vs. 12.5	-0.437720498101	[ 0.663474]	1	N/A	N/A
All within SampleDepth	12 vs. 10.8	0.828897221542	[ 0.41110216]	1	N/A	N/A
All within SampleDepth	12 vs. 9.5	-0.11767463362	0.90678769507	1	N/A	N/A
All within SampleDepth	12 vs. 14	-0.400948659121	0.690132842546	1	N/A	N/A
All within SampleDepth	10.5 vs. 7	-0.492162357137	[ 0.62475865]	1	N/A	N/A
All within SampleDepth	10.5 vs. 16	0.332973100194	0.740519550592	1	N/A	N/A
All within SampleDepth	10.5 vs. 11.5	-1.75240461329	[ 0.08583487]	1	N/A	N/A
All within SampleDepth	10.5 vs. 8.5	0.334231075093	[ 0.73960311]	1	N/A	N/A
All within SampleDepth	10.5 vs. 15	-0.278361610186	0.781860297846	1	N/A	N/A
All within SampleDepth	10.5 vs. 3	-1.18806214319	0.240312344915	1	N/A	N/A
All within SampleDepth	10.5 vs. 12.5	0.482695338701	[ 0.63141878]	1	N/A	N/A
All within SampleDepth	10.5 vs. 10.8	-0.414030197381	[ 0.68062274]	1	N/A	N/A
All within SampleDepth	10.5 vs. 9.5	-0.960871753847	0.341150291139	1	N/A	N/A
All within SampleDepth	10.5 vs. 14	1.31950342957	0.192893974651	1	N/A	N/A
All within SampleDepth	7 vs. 16	-1.26553304832	0.21143154502	1	N/A	N/A
All within SampleDepth	7 vs. 11.5	-0.548189572123	[ 0.58600107]	1	N/A	N/A
All within SampleDepth	7 vs. 8.5	1.22715191294	[ 0.22551229]	1	N/A	N/A
All within SampleDepth	7 vs. 15	-1.26483726392	0.211678906666	1	N/A	N/A
All within SampleDepth	7 vs. 3	-1.63282145132	0.108666243082	1	N/A	N/A
All within SampleDepth	7 vs. 12.5	1.62478190974	[ 0.11049699]	1	N/A	N/A
All within SampleDepth	7 vs. 10.8	-0.0290276509707	[ 0.97695809]	1	N/A	N/A
All within SampleDepth	7 vs. 9.5	-2.55611157099	0.0136068924684	1	N/A	N/A
All within SampleDepth	7 vs. 14	-0.0244206210134	0.980612402442	1	N/A	N/A
All within SampleDepth	16 vs. 11.5	0.300822507066	0.764772843634	1	N/A	N/A
All within SampleDepth	16 vs. 8.5	0.194791165184	0.846330353804	1	N/A	N/A
All within SampleDepth	16 vs. 15	-0.738424815343	0.463513779213	1	N/A	N/A
All within SampleDepth	16 vs. 3	-3.03400910628	0.00373335186027	1	N/A	N/A
All within SampleDepth	16 vs. 12.5	-0.371693843668	0.71166067279	1	N/A	N/A
All within SampleDepth	16 vs. 10.8	-0.109684866338	0.913089767612	1	N/A	N/A
All within SampleDepth	16 vs. 9.5	-1.64284855085	0.106334843911	1	N/A	N/A
All within SampleDepth	16 vs. 14	1.05662354173	0.295476013807	1	N/A	N/A
All within SampleDepth	11.5 vs. 8.5	0.180392859575	[ 0.85757333]	1	N/A	N/A
All within SampleDepth	11.5 vs. 15	0.045966884359	0.963516167239	1	N/A	N/A
All within SampleDepth	11.5 vs. 3	-1.06966252116	0.289807819392	1	N/A	N/A
All within SampleDepth	11.5 vs. 12.5	0.45720031741	[ 0.64950743]	1	N/A	N/A
All within SampleDepth	11.5 vs. 10.8	-0.422408040565	[ 0.6745382]	1	N/A	N/A
All within SampleDepth	11.5 vs. 9.5	-1.25108885685	0.216610924065	1	N/A	N/A
All within SampleDepth	11.5 vs. 14	1.60570134262	0.114514530259	1	N/A	N/A
All within SampleDepth	8.5 vs. 15	-0.922426113579	0.360649770198	1	N/A	N/A
All within SampleDepth	8.5 vs. 3	-2.6738815782	0.0100481315288	1	N/A	N/A
All within SampleDepth	8.5 vs. 12.5	0.850032969119	[ 0.39935888]	1	N/A	N/A
All within SampleDepth	8.5 vs. 10.8	0.061318340329	[ 0.95135014]	1	N/A	N/A
