# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleNitrogen	All between SampleNitrogen	0.883352215086	0.377571340737	1	N/A	N/A
All within SampleNitrogen	1 vs. 1	-0.699144845744	0.485312020001	1	N/A	N/A
All within SampleNitrogen	10 vs. 10	1.74494854814	0.083393831228	1	N/A	N/A
All within SampleNitrogen	100 vs. 100	0.244302899971	0.807369911591	1	N/A	N/A
All within SampleNitrogen	31.6 vs. 31.6	-0.381920273489	[ 0.7032315]	1	N/A	N/A
All within SampleNitrogen	1 vs. 10	1.59201641953	0.113034655583	1	N/A	N/A
All within SampleNitrogen	1 vs. 100	-0.443289604811	0.658026023402	1	N/A	N/A
All within SampleNitrogen	1 vs. 3.16	-1.56436049017	0.120241068785	1	N/A	N/A
All within SampleNitrogen	1 vs. 31.6	0.818943695727	0.414220395033	1	N/A	N/A
All within SampleNitrogen	10 vs. 100	1.66545856417	0.097841192085	1	N/A	N/A
All within SampleNitrogen	10 vs. 3.16	0.0618316179815	0.950800655095	1	N/A	N/A
All within SampleNitrogen	10 vs. 31.6	1.43013927765	0.155171890349	1	N/A	N/A
All within SampleNitrogen	100 vs. 3.16	-0.762091306696	0.447500806604	1	N/A	N/A
All within SampleNitrogen	100 vs. 31.6	0.479103743577	0.632688740289	1	N/A	N/A
All within SampleNitrogen	3.16 vs. 31.6	-0.893853837277	0.373266938726	1	N/A	N/A
All between SampleNitrogen	1 vs. 1	-1.64206874807	0.101432309921	1	N/A	N/A
All between SampleNitrogen	10 vs. 10	1.59670219983	0.111371043341	1	N/A	N/A
All between SampleNitrogen	100 vs. 100	-0.175304238228	0.86095502845	1	N/A	N/A
All between SampleNitrogen	31.6 vs. 31.6	-0.330016997921	[ 0.74162538]	1	N/A	N/A
All between SampleNitrogen	1 vs. 10	1.20541278378	0.228820616723	1	N/A	N/A
All between SampleNitrogen	1 vs. 100	-1.38513296823	0.166824388213	1	N/A	N/A
All between SampleNitrogen	1 vs. 3.16	-2.16287780854	0.031335111589	1	N/A	N/A
All between SampleNitrogen	1 vs. 31.6	0.476655890733	0.63393765687	1	N/A	N/A
All between SampleNitrogen	10 vs. 100	1.30125348679	0.194076727804	1	N/A	N/A
All between SampleNitrogen	10 vs. 3.16	-0.17528495457	0.860975983169	1	N/A	N/A
All between SampleNitrogen	10 vs. 31.6	1.2805156761	0.201349689643	1	N/A	N/A
All between SampleNitrogen	100 vs. 3.16	-1.12959974111	0.25955948491	1	N/A	N/A
All between SampleNitrogen	100 vs. 31.6	0.169688682443	0.865368210604	1	N/A	N/A
All between SampleNitrogen	3.16 vs. 31.6	-1.15125547965	0.250572186599	1	N/A	N/A
1 vs. 1	10 vs. 10	1.8973554159	0.06095190714	1	N/A	N/A
1 vs. 1	100 vs. 100	0.636399299245	0.52601509243	1	N/A	N/A
1 vs. 1	31.6 vs. 31.6	-0.431735189735	[ 0.66714039]	1	N/A	N/A
1 vs. 1	1 vs. 10	2.01792373062	0.0453355854799	1	N/A	N/A
1 vs. 1	1 vs. 100	0.292576375958	0.770209164629	1	N/A	N/A
1 vs. 1	1 vs. 3.16	-1.04700049582	0.297934485221	1	N/A	N/A
1 vs. 1	1 vs. 31.6	1.14956180893	0.253012704667	1	N/A	N/A
1 vs. 1	10 vs. 100	2.03338226132	0.0442572309215	1	N/A	N/A
1 vs. 1	10 vs. 3.16	0.284476477575	0.776762427239	1	N/A	N/A
1 vs. 1	10 vs. 31.6	1.58142599102	0.117368391657	1	N/A	N/A
1 vs. 1	100 vs. 3.16	-0.423189148437	0.673251790891	1	N/A	N/A
1 vs. 1	100 vs. 31.6	0.77211769471	0.442067513642	1	N/A	N/A
1 vs. 1	3.16 vs. 31.6	-0.6538797257	0.515112480022	1	N/A	N/A
10 vs. 10	100 vs. 100	-2.1000869303	0.0432152301475	1	N/A	N/A
10 vs. 10	31.6 vs. 31.6	0.138051174175	[ 0.89216591]	1	N/A	N/A
10 vs. 10	1 vs. 10	-0.924296071646	0.357776686447	1	N/A	N/A
10 vs. 10	1 vs. 100	-2.04398963753	0.0434816525213	1	N/A	N/A
10 vs. 10	1 vs. 3.16	-3.01730054621	0.00564314272156	0.677177126587	N/A	N/A
10 vs. 10	1 vs. 31.6	-1.03089281747	0.308942114907	1	N/A	N/A
10 vs. 10	10 vs. 100	-1.04004326384	0.302870369764	1	N/A	N/A
10 vs. 10	10 vs. 3.16	-1.54055147243	0.139915887078	1	N/A	N/A
10 vs. 10	10 vs. 31.6	-0.172355397472	0.864545846765	1	N/A	N/A
10 vs. 10	100 vs. 3.16	-2.7552348543	0.0122049212621	1	N/A	N/A
10 vs. 10	100 vs. 31.6	-1.69965346405	0.100690453734	1	N/A	N/A
10 vs. 10	3.16 vs. 31.6	-2.6687301676	0.0175226605939	1	N/A	N/A
100 vs. 100	31.6 vs. 31.6	-0.540994981912	[ 0.59448612]	1	N/A	N/A
100 vs. 100	1 vs. 10	0.799199275152	0.426127529247	1	N/A	N/A
100 vs. 100	1 vs. 100	-0.530558151487	0.596794494471	1	N/A	N/A
100 vs. 100	1 vs. 3.16	-1.85155562314	0.073336750913	1	N/A	N/A
100 vs. 100	1 vs. 31.6	0.501610900817	0.618386610592	1	N/A	N/A
100 vs. 100	10 vs. 100	1.35374446956	0.180812660125	1	N/A	N/A
100 vs. 100	10 vs. 3.16	-0.103371171264	0.918493166577	1	N/A	N/A
100 vs. 100	10 vs. 31.6	1.68648178942	0.101743279451	1	N/A	N/A
100 vs. 100	100 vs. 3.16	-1.27689508311	0.212925898603	1	N/A	N/A
100 vs. 100	100 vs. 31.6	0.389035478766	0.699748967932	1	N/A	N/A
100 vs. 100	3.16 vs. 31.6	-1.56445570091	0.132655909167	1	N/A	N/A
31.6 vs. 31.6	1 vs. 10	-0.164390226974	[ 0.86985473]	1	N/A	N/A
31.6 vs. 31.6	1 vs. 100	-0.460482174931	[ 0.64628086]	1	N/A	N/A
31.6 vs. 31.6	1 vs. 3.16	-0.78681568555	[ 0.44665096]	1	N/A	N/A
31.6 vs. 31.6	1 vs. 31.6	-0.207168172579	[ 0.83755672]	1	N/A	N/A
31.6 vs. 31.6	10 vs. 100	-0.176476399825	[ 0.86078854]	1	N/A	N/A
31.6 vs. 31.6	10 vs. 3.16	-0.473059774793	[ 0.65610172]	1	N/A	N/A
31.6 vs. 31.6	10 vs. 31.6	0.0597633705763	[ 0.95341605]	1	N/A	N/A
