# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePh	All between SamplePh	0.207074923921	0.836055675714	1	N/A	N/A
All within SamplePh	8.5 vs. 8.5	-1.00971532809	0.317053317981	1	N/A	N/A
All within SamplePh	5.5 vs. 5.5	-2.01202833185	0.0488695546186	1	N/A	N/A
All within SamplePh	6.5 vs. 6.5	-0.7470907383	[ 0.45831048]	1	N/A	N/A
All within SamplePh	5 vs. 5	-0.841396627555	0.403118878696	1	N/A	N/A
All within SamplePh	9 vs. 9	1.9156485385	0.0589827471482	1	N/A	N/A
All within SamplePh	8 vs. 8	0.375727693654	[ 0.70861904]	1	N/A	N/A
All within SamplePh	8.5 vs. 5.5	-2.0181278572	0.0477737602715	1	N/A	N/A
All within SamplePh	8.5 vs. 5.6	0.943616370191	0.349492519436	1	N/A	N/A
All within SamplePh	8.5 vs. 5.7	0.607826746365	0.54580413104	1	N/A	N/A
All within SamplePh	8.5 vs. 3.16	-0.164915922036	0.869614802792	1	N/A	N/A
All within SamplePh	8.5 vs. 6.5	0.0145115474071	0.988471669596	1	N/A	N/A
All within SamplePh	8.5 vs. 5	-1.06371328945	0.291114334439	1	N/A	N/A
All within SamplePh	8.5 vs. 9	0.280655717842	0.779737071387	1	N/A	N/A
All within SamplePh	8.5 vs. 8	-0.0594674299709	0.952784233157	1	N/A	N/A
All within SamplePh	8.5 vs. 9.0	-0.659455517437	0.512355215527	1	N/A	N/A
All within SamplePh	5.5 vs. 5.6	-0.138576751398	0.890281744137	1	N/A	N/A
All within SamplePh	5.5 vs. 5.7	0.349967278529	0.727676095168	1	N/A	N/A
All within SamplePh	5.5 vs. 3.16	-0.330796176844	0.742033007956	1	N/A	N/A
All within SamplePh	5.5 vs. 6.5	-0.166180049799	0.868573986375	1	N/A	N/A
All within SamplePh	5.5 vs. 5	-1.4294517007	0.15697226737	1	N/A	N/A
All within SamplePh	5.5 vs. 9	-0.999599980422	0.320374999486	1	N/A	N/A
All within SamplePh	5.5 vs. 8	-0.620757333486	0.537110312262	1	N/A	N/A
