# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePhosphorus	All between SamplePhosphorus	-1.11749329895	0.264447566796	1	N/A	N/A
All within SamplePhosphorus	10 vs. 10	0.640713838816	0.522619523187	1	N/A	N/A
All within SamplePhosphorus	3.16 vs. 3.16	2.1751320128	[ 0.03137502]	1	N/A	N/A
All within SamplePhosphorus	100 vs. 100	-0.185622362429	0.852899014367	1	N/A	N/A
All within SamplePhosphorus	1000 vs. 1000	-1.27371337515	[ 0.2049699]	1	N/A	N/A
All within SamplePhosphorus	10 vs. 31.6	-0.501244981852	0.616980377858	1	N/A	N/A
All within SamplePhosphorus	10 vs. 3.16	-2.3462432684	0.0202809150455	1	N/A	N/A
All within SamplePhosphorus	10 vs. 1	1.21283901675	0.22721945094	1	N/A	N/A
All within SamplePhosphorus	10 vs. 100	0.895412783532	0.371417575891	1	N/A	N/A
All within SamplePhosphorus	10 vs. 1000	0.407723527583	0.684061894485	1	N/A	N/A
All within SamplePhosphorus	31.6 vs. 3.16	-1.36736954438	0.173781785301	1	N/A	N/A
All within SamplePhosphorus	31.6 vs. 1	-0.114323861353	[ 0.90915219]	1	N/A	N/A
All within SamplePhosphorus	31.6 vs. 100	-0.979156855134	0.329100329578	1	N/A	N/A
All within SamplePhosphorus	31.6 vs. 1000	-0.609758132382	0.543046989311	1	N/A	N/A
All within SamplePhosphorus	3.16 vs. 1	-0.778589467894	0.437584143737	1	N/A	N/A
All within SamplePhosphorus	3.16 vs. 100	-4.48892284316	1.34804708603e-05	0.00279045746808	N/A	N/A
All within SamplePhosphorus	3.16 vs. 1000	-1.57827493086	0.11680868991	1	N/A	N/A
All within SamplePhosphorus	1 vs. 100	0.975675990143	0.330817103317	1	N/A	N/A
All within SamplePhosphorus	1 vs. 1000	-0.448958297849	0.654181604166	1	N/A	N/A
All within SamplePhosphorus	100 vs. 1000	-0.447251543515	0.655287201254	1	N/A	N/A
All between SamplePhosphorus	10 vs. 10	1.33228483861	0.183787949664	1	N/A	N/A
All between SamplePhosphorus	3.16 vs. 3.16	2.2419854442	[ 0.0257745]	1	N/A	N/A
All between SamplePhosphorus	100 vs. 100	0.783711959285	0.433705175974	1	N/A	N/A
All between SamplePhosphorus	1000 vs. 1000	-1.50452747106	[ 0.13361446]	1	N/A	N/A
All between SamplePhosphorus	10 vs. 31.6	-0.20480572868	0.837874320848	1	N/A	N/A
All between SamplePhosphorus	10 vs. 3.16	-2.11177517643	0.0355759423169	1	N/A	N/A
All between SamplePhosphorus	10 vs. 1	1.66296654057	0.0974501463163	1	N/A	N/A
All between SamplePhosphorus	10 vs. 100	2.18301125112	0.0296321731191	1	N/A	N/A
All between SamplePhosphorus	10 vs. 1000	0.922677107997	0.356955948938	1	N/A	N/A
All between SamplePhosphorus	31.6 vs. 3.16	-1.31767451212	0.188725474936	1	N/A	N/A
All between SamplePhosphorus	31.6 vs. 1	-0.24507182761	[ 0.80658698]	1	N/A	N/A
All between SamplePhosphorus	31.6 vs. 100	-0.624814687791	0.532594349629	1	N/A	N/A
All between SamplePhosphorus	31.6 vs. 1000	-0.491430696932	0.623519627819	1	N/A	N/A
All between SamplePhosphorus	3.16 vs. 1	-0.678101262897	0.49828606372	1	N/A	N/A
All between SamplePhosphorus	3.16 vs. 100	-4.40338177236	1.48573316268e-05	0.00307546764675	N/A	N/A
All between SamplePhosphorus	3.16 vs. 1000	-1.47645107669	0.140975373514	1	N/A	N/A
All between SamplePhosphorus	1 vs. 100	1.53442802131	0.12603763236	1	N/A	N/A
All between SamplePhosphorus	1 vs. 1000	-0.31680265224	0.751637258833	1	N/A	N/A
All between SamplePhosphorus	100 vs. 1000	0.133939161717	0.89354078966	1	N/A	N/A
10 vs. 10	3.16 vs. 3.16	3.88137968513	[ 0.00060521]	[ 0.12527935]	N/A	N/A
10 vs. 10	100 vs. 100	-0.717603462675	0.474279521941	1	N/A	N/A
10 vs. 10	1000 vs. 1000	-1.93833969172	[ 0.06310275]	1	N/A	N/A
10 vs. 10	10 vs. 31.6	-1.35117280231	0.185563241553	1	N/A	N/A
10 vs. 10	10 vs. 3.16	-3.46504429128	0.00123451768787	0.255545161389	N/A	N/A
10 vs. 10	10 vs. 1	1.28640148382	0.206993928468	1	N/A	N/A
10 vs. 10	10 vs. 100	-0.106869478477	0.915039235473	1	N/A	N/A
