# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePotassium	All between SamplePotassium	-3.24182649106	0.00128617246703	0.0848873828241	N/A	N/A
All within SamplePotassium	1 vs. 1	1.96369120269	0.0507203950991	1	N/A	N/A
All within SamplePotassium	10 vs. 10	-1.73465255441	0.0847775308994	1	N/A	N/A
All within SamplePotassium	100 vs. 100	-4.31028063157	2.99413818603e-05	0.00197613120278	N/A	N/A
All within SamplePotassium	3.16 vs. 3.16	0.327220262667	[ 0.74400441]	1	N/A	N/A
All within SamplePotassium	1 vs. 10	-0.787579615089	0.431719756135	1	N/A	N/A
All within SamplePotassium	1 vs. 100	-3.56715178755	0.000446998125273	0.029501876268	N/A	N/A
All within SamplePotassium	1 vs. 3.16	-0.522104881354	0.602297525378	1	N/A	N/A
All within SamplePotassium	10 vs. 100	-4.45771862393	1.4992922315e-05	0.000989532872793	N/A	N/A
All within SamplePotassium	10 vs. 3.16	-1.76461899756	0.0796767830789	1	N/A	N/A
All within SamplePotassium	100 vs. 3.16	-2.85430571997	0.00494552982794	0.326404968644	N/A	N/A
All between SamplePotassium	1 vs. 1	4.7414941663	3.0268901805e-06	0.000199774751913	N/A	N/A
All between SamplePotassium	10 vs. 10	-0.0163665375081	0.986953307545	1	N/A	N/A
All between SamplePotassium	100 vs. 100	-2.52047092766	0.0122818904447	0.810604769349	N/A	N/A
All between SamplePotassium	3.16 vs. 3.16	-0.0636339361259	[ 0.94930915]	1	N/A	N/A
All between SamplePotassium	1 vs. 10	2.16392454344	0.0311060628084	1	N/A	N/A
All between SamplePotassium	1 vs. 100	-1.18330236771	0.237511209674	1	N/A	N/A
All between SamplePotassium	1 vs. 3.16	1.26959940175	0.205221253281	1	N/A	N/A
All between SamplePotassium	10 vs. 100	-2.26303653421	0.0243432996185	1	N/A	N/A
All between SamplePotassium	10 vs. 3.16	-0.258831486488	0.795954759304	1	N/A	N/A
All between SamplePotassium	100 vs. 3.16	-1.33376808257	0.183375504965	1	N/A	N/A
1 vs. 1	10 vs. 10	-3.30317360249	0.00124958116478	0.0824723568756	N/A	N/A
1 vs. 1	100 vs. 100	-6.22005762466	8.62412321222e-09	5.69192132006e-07	N/A	N/A
1 vs. 1	3.16 vs. 3.16	0.762029374686	[ 0.4477672]	1	N/A	N/A
1 vs. 1	1 vs. 10	-2.67432344037	0.00808314938923	0.533487859689	N/A	N/A
1 vs. 1	1 vs. 100	-4.96676145661	1.58800118276e-06	0.000104808078062	N/A	N/A
1 vs. 1	1 vs. 3.16	-2.11968409978	0.0358905018063	1	N/A	N/A
1 vs. 1	10 vs. 100	-6.10586349173	9.7807808863e-09	6.45531538496e-07	N/A	N/A
1 vs. 1	10 vs. 3.16	-3.25468910225	0.00148458877015	0.0979828588301	N/A	N/A
1 vs. 1	100 vs. 3.16	-4.41830172731	2.2932299008e-05	0.00151353173453	N/A	N/A
10 vs. 10	100 vs. 100	-2.09699432791	0.0448271860566	1	N/A	N/A
10 vs. 10	3.16 vs. 3.16	-0.0730982783081	[ 0.94245404]	1	N/A	N/A
10 vs. 10	1 vs. 10	1.22894030359	0.221421288289	1	N/A	N/A
10 vs. 10	1 vs. 100	-0.568013639006	0.571380031817	1	N/A	N/A
10 vs. 10	1 vs. 3.16	1.11675877525	0.269543737713	1	N/A	N/A
10 vs. 10	10 vs. 100	-1.37394140342	0.175136430364	1	N/A	N/A
10 vs. 10	10 vs. 3.16	-0.214976730098	0.831108518887	1	N/A	N/A
10 vs. 10	100 vs. 3.16	-1.11637290973	0.27342738858	1	N/A	N/A
100 vs. 100	3.16 vs. 3.16	-0.68947541057	[ 0.50790927]	1	N/A	N/A
100 vs. 100	1 vs. 10	3.79236249762	0.000241307708563	0.0159263087651	N/A	N/A
100 vs. 100	1 vs. 100	1.66061738693	0.100563704319	1	N/A	N/A
100 vs. 100	1 vs. 3.16	3.54136661933	0.00107164902904	0.0707288359166	N/A	N/A
100 vs. 100	10 vs. 100	0.943679756642	0.350605641856	1	N/A	N/A
100 vs. 100	10 vs. 3.16	1.7269984836	0.0981841963175	1	N/A	N/A
100 vs. 100	100 vs. 3.16	0.716058738848	0.483142170934	1	N/A	N/A
3.16 vs. 3.16	1 vs. 10	0.214729083068	[ 0.83039904]	1	N/A	N/A
3.16 vs. 3.16	1 vs. 100	-0.190354365583	[ 0.84955269]	1	N/A	N/A
3.16 vs. 3.16	1 vs. 3.16	0.26615010605	[ 0.7920068]	1	N/A	N/A
3.16 vs. 3.16	10 vs. 100	-0.400055572514	[ 0.69161805]	1	N/A	N/A
3.16 vs. 3.16	10 vs. 3.16	-0.143429770622	[ 0.88815019]	1	N/A	N/A
3.16 vs. 3.16	100 vs. 3.16	-0.397828903527	[ 0.70002764]	1	N/A	N/A
1 vs. 10	1 vs. 100	-2.70241966583	0.0075500035178	0.498300232175	N/A	N/A
1 vs. 10	1 vs. 3.16	0.00748229484857	0.994041259652	1	N/A	N/A
1 vs. 10	10 vs. 100	-3.67677066754	0.000337387404756	0.0222675687139	N/A	N/A
