# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Day	All between Day	-7.73933085105	2.94529346033e-14	1.94389368382e-12	N/A	N/A
All within Day	18 vs. 18	1.83624242486	0.0670152354507	1	N/A	N/A
All within Day	30 vs. 30	-0.898348686684	0.369504772603	1	N/A	N/A
All within Day	17 vs. 17	0.227247095578	0.820287704741	1	N/A	N/A
All within Day	6 vs. 6	-3.32232554326	0.000969345911075	0.0639768301309	N/A	N/A
All within Day	18 vs. 30	-1.28896067148	0.198092096797	1	N/A	N/A
All within Day	18 vs. 17	-5.80408129831	1.10650051292e-08	7.3029033853e-07	N/A	N/A
All within Day	18 vs. 6	-4.90226085886	1.33684499286e-06	8.82317695286e-05	N/A	N/A
All within Day	30 vs. 17	-2.71132979134	0.00691559125199	0.456429022632	N/A	N/A
All within Day	30 vs. 6	-3.7806810463	0.0001780827064	0.0117534586224	N/A	N/A
All within Day	17 vs. 6	-7.71837319773	5.77085842886e-14	3.80876656305e-12	N/A	N/A
All between Day	18 vs. 18	2.43243905902	0.0154352250559	1	N/A	N/A
All between Day	30 vs. 30	0.501051072196	0.616610789082	1	N/A	N/A
All between Day	17 vs. 17	7.95407720524	6.2172489379e-15	4.10338429901e-13	N/A	N/A
All between Day	6 vs. 6	-1.28141624118	0.200789834197	1	N/A	N/A
All between Day	18 vs. 30	0.937375552006	0.349117243742	1	N/A	N/A
All between Day	18 vs. 17	0.565301403759	0.572117366397	1	N/A	N/A
All between Day	18 vs. 6	-1.79178393558	0.073904889464	1	N/A	N/A
All between Day	30 vs. 17	2.75347481973	0.00610699883862	0.403061923349	N/A	N/A
All between Day	30 vs. 6	-0.985946944361	0.324740618859	1	N/A	N/A
All between Day	17 vs. 6	-2.21907754034	0.0269207663912	1	N/A	N/A
18 vs. 18	30 vs. 30	-2.81691832015	0.0182569505932	1	N/A	N/A
18 vs. 18	17 vs. 17	-1.90443518398	0.0575531575088	1	N/A	N/A
18 vs. 18	6 vs. 6	-1.84019144195	0.0955686514493	1	N/A	N/A
18 vs. 18	18 vs. 30	-3.39253970756	0.002890654357	0.190783187562	N/A	N/A
18 vs. 18	18 vs. 17	-4.13581730155	6.59067950392e-05	0.00434984847259	N/A	N/A
18 vs. 18	18 vs. 6	-2.31510620953	0.0313491178088	1	N/A	N/A
18 vs. 18	30 vs. 17	-2.83220259585	0.00542342197543	0.357945850378	N/A	N/A
18 vs. 18	30 vs. 6	-1.91124983783	0.070410839273	1	N/A	N/A
18 vs. 18	17 vs. 6	-2.21142838532	0.0289005455879	1	N/A	N/A
30 vs. 30	17 vs. 17	0.990250376697	0.322635791609	1	N/A	N/A
30 vs. 30	6 vs. 6	-0.865798801194	0.406892763886	1	N/A	N/A
30 vs. 30	18 vs. 30	0.119987313446	0.905690354553	1	N/A	N/A
30 vs. 30	18 vs. 17	-0.650501439495	0.516611906106	1	N/A	N/A
30 vs. 30	18 vs. 6	-1.04628409801	0.307910998962	1	N/A	N/A
30 vs. 30	30 vs. 17	0.248574731857	0.804114667583	1	N/A	N/A
30 vs. 30	30 vs. 6	-0.695158304669	0.494954286701	1	N/A	N/A
30 vs. 30	17 vs. 6	-0.81425272398	0.417113083843	1	N/A	N/A
17 vs. 17	6 vs. 6	-3.52988235772	0.000462879569354	0.0305500515774	N/A	N/A
17 vs. 17	18 vs. 30	-1.42723420836	0.154255420456	1	N/A	N/A
17 vs. 17	18 vs. 17	-6.23341358721	9.44400763888e-10	6.23304504166e-08	N/A	N/A
17 vs. 17	18 vs. 6	-5.18979206125	3.28466741603e-07	2.16788049458e-05	N/A	N/A
17 vs. 17	30 vs. 17	-2.98622757148	0.00295755771469	0.19519880917	N/A	N/A
17 vs. 17	30 vs. 6	-4.01259042086	7.11058287969e-05	0.00469298470059	N/A	N/A
17 vs. 17	17 vs. 6	-7.9559983099	1.11880554317e-14	7.38411658492e-13	N/A	N/A
6 vs. 6	18 vs. 30	1.47163975717	0.156679262646	1	N/A	N/A
6 vs. 6	18 vs. 17	2.08663221587	0.0390389018637	1	N/A	N/A
6 vs. 6	18 vs. 6	0.0879426025768	0.930796900303	1	N/A	N/A
6 vs. 6	30 vs. 17	2.6271038782	0.0097351527991	0.642520084741	N/A	N/A
6 vs. 6	30 vs. 6	0.34457157455	0.734013374548	1	N/A	N/A
6 vs. 6	17 vs. 6	0.473775060206	0.636521164034	1	N/A	N/A
18 vs. 30	18 vs. 17	-1.24447582265	0.215563461909	1	N/A	N/A
18 vs. 30	18 vs. 6	-1.7650998832	0.0877260158861	1	N/A	N/A
18 vs. 30	30 vs. 17	0.209818913751	0.834137481534	1	N/A	N/A
18 vs. 30	30 vs. 6	-1.19791224584	0.240330069719	1	N/A	N/A
18 vs. 30	17 vs. 6	-1.41179639981	0.160399017672	1	N/A	N/A
18 vs. 17	18 vs. 6	-2.68626675496	0.00816905002047	0.539157301351	N/A	N/A
18 vs. 17	30 vs. 17	2.79127353271	0.00569122565096	0.375620892963	N/A	N/A
18 vs. 17	30 vs. 6	-1.57864116587	0.116848617287	1	N/A	N/A
18 vs. 17	17 vs. 6	-2.26111007518	0.0246876598331	1	N/A	N/A
18 vs. 6	30 vs. 17	3.5555255133	0.000526809852177	0.0347694502437	N/A	N/A
18 vs. 6	30 vs. 6	0.384457170903	0.703351500814	1	N/A	N/A
18 vs. 6	17 vs. 6	0.56561577136	0.572629954746	1	N/A	N/A
30 vs. 17	30 vs. 6	-2.5030937198	0.0135505283277	0.89433486963	N/A	N/A
30 vs. 17	17 vs. 6	-3.75065966432	0.000223250976388	0.0147345644416	N/A	N/A
30 vs. 6	17 vs. 6	0.00275823114107	0.997803480867	1	N/A	N/A
