# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleDepth	All between SampleDepth	0.199722409007	0.841798174496	1	N/A	N/A
All within SampleDepth	11 vs. 11	-0.499196380783	[ 0.61983049]	1	N/A	N/A
All within SampleDepth	10 vs. 10	0.170071906221	0.865319089499	1	N/A	N/A
All within SampleDepth	16 vs. 16	0.442661904178	[ 0.65991946]	1	N/A	N/A
All within SampleDepth	15 vs. 15	0.497054554894	[ 0.62132924]	1	N/A	N/A
All within SampleDepth	3 vs. 3	1.01771877477	[ 0.31371103]	1	N/A	N/A
All within SampleDepth	9.5 vs. 9.5	0.0659886542509	[ 0.94765001]	1	N/A	N/A
All within SampleDepth	14 vs. 14	0.0599553275897	[ 0.95243021]	1	N/A	N/A
All within SampleDepth	11 vs. 10	1.43771507032	0.155034798463	1	N/A	N/A
All within SampleDepth	11 vs. 12	0.442264460989	0.660167778657	1	N/A	N/A
All within SampleDepth	11 vs. 10.5	1.02652154287	0.309490103315	1	N/A	N/A
All within SampleDepth	11 vs. 7	0.36234398829	0.718592220826	1	N/A	N/A
All within SampleDepth	11 vs. 16	0.227401657917	0.820986369134	1	N/A	N/A
All within SampleDepth	11 vs. 11.5	0.642491101163	0.5234322939	1	N/A	N/A
All within SampleDepth	11 vs. 8.5	-0.0142332998472	0.98869938834	1	N/A	N/A
All within SampleDepth	11 vs. 15	0.420796060475	0.675605459843	1	N/A	N/A
All within SampleDepth	11 vs. 3	-0.10072818023	0.920146324648	1	N/A	N/A
All within SampleDepth	11 vs. 12.5	0.357692183738	0.722049797725	1	N/A	N/A
All within SampleDepth	11 vs. 10.8	0.889739933025	0.377783411988	1	N/A	N/A
All within SampleDepth	11 vs. 9.5	0.469075518351	0.640939562779	1	N/A	N/A
All within SampleDepth	11 vs. 14	0.850895928881	0.398655214213	1	N/A	N/A
All within SampleDepth	10 vs. 12	-0.158078973311	0.874934376297	1	N/A	N/A
All within SampleDepth	10 vs. 10.5	1.172716486	0.245622690099	1	N/A	N/A
All within SampleDepth	10 vs. 7	-0.198524209596	0.843317448262	1	N/A	N/A
All within SampleDepth	10 vs. 16	-0.563966383341	0.57460555807	1	N/A	N/A
All within SampleDepth	10 vs. 11.5	1.11593602988	0.268973994957	1	N/A	N/A
All within SampleDepth	10 vs. 8.5	-0.257934661687	0.797354922611	1	N/A	N/A
All within SampleDepth	10 vs. 15	0.12557914169	0.900430256744	1	N/A	N/A
All within SampleDepth	10 vs. 3	-0.712212227465	0.478734733488	1	N/A	N/A
All within SampleDepth	10 vs. 12.5	-0.250060145614	0.803409500695	1	N/A	N/A
All within SampleDepth	10 vs. 10.8	0.889850828518	0.377160088105	1	N/A	N/A
All within SampleDepth	10 vs. 9.5	-1.01543765538	0.313444724511	1	N/A	N/A
All within SampleDepth	10 vs. 14	0.996157510593	0.322654286516	1	N/A	N/A
All within SampleDepth	12 vs. 10.5	-0.036867595655	[ 0.97073738]	1	N/A	N/A
All within SampleDepth	12 vs. 7	0.694782501052	[ 0.49040779]	1	N/A	N/A
All within SampleDepth	12 vs. 16	0.144846689016	0.885402835513	1	N/A	N/A
All within SampleDepth	12 vs. 11.5	-0.140129752168	[ 0.88912045]	1	N/A	N/A
All within SampleDepth	12 vs. 8.5	0.642192250311	[ 0.52368204]	1	N/A	N/A
All within SampleDepth	12 vs. 15	-0.0313463147088	0.97511570844	1	N/A	N/A
All within SampleDepth	12 vs. 3	-0.444260132358	0.658734000794	1	N/A	N/A
All within SampleDepth	12 vs. 12.5	-0.458363672986	[ 0.64867727]	1	N/A	N/A
All within SampleDepth	12 vs. 10.8	0.277870356647	[ 0.78225768]	1	N/A	N/A
All within SampleDepth	12 vs. 9.5	0.604241288748	0.548361939533	1	N/A	N/A
All within SampleDepth	12 vs. 14	-0.139104707217	0.889915265933	1	N/A	N/A
All within SampleDepth	10.5 vs. 7	-0.25020544263	[ 0.8034537]	1	N/A	N/A
All within SampleDepth	10.5 vs. 16	-0.258182607514	0.797305044869	1	N/A	N/A
All within SampleDepth	10.5 vs. 11.5	-0.747737524216	[ 0.45812098]	1	N/A	N/A
All within SampleDepth	10.5 vs. 8.5	0.0935719213719	[ 0.92582317]	1	N/A	N/A
All within SampleDepth	10.5 vs. 15	0.407008789902	0.685704742823	1	N/A	N/A
All within SampleDepth	10.5 vs. 3	0.161803500278	0.872099927157	1	N/A	N/A
All within SampleDepth	10.5 vs. 12.5	0.0914897992564	[ 0.92746898]	1	N/A	N/A
All within SampleDepth	10.5 vs. 10.8	-0.505619236085	[ 0.61534582]	1	N/A	N/A
All within SampleDepth	10.5 vs. 9.5	0.150689340782	0.880815217378	1	N/A	N/A
All within SampleDepth	10.5 vs. 14	0.805121599662	0.424487258367	1	N/A	N/A
All within SampleDepth	7 vs. 16	-0.644161445778	0.522357427348	1	N/A	N/A
All within SampleDepth	7 vs. 11.5	-0.175395751086	[ 0.86147707]	1	N/A	N/A
All within SampleDepth	7 vs. 8.5	0.197650156681	[ 0.84412014]	1	N/A	N/A
All within SampleDepth	7 vs. 15	-0.18693538364	0.852452969059	1	N/A	N/A
All within SampleDepth	7 vs. 3	-0.486881218203	0.628428540724	1	N/A	N/A
All within SampleDepth	7 vs. 12.5	0.597398914055	[ 0.55293709]	1	N/A	N/A
All within SampleDepth	7 vs. 10.8	-1.16521518711	[ 0.24946084]	1	N/A	N/A
All within SampleDepth	7 vs. 9.5	-1.02098299303	0.312081368728	1	N/A	N/A
All within SampleDepth	7 vs. 14	0.210055837692	0.834461024042	1	N/A	N/A
All within SampleDepth	16 vs. 11.5	0.264341875647	0.792581835314	1	N/A	N/A
All within SampleDepth	16 vs. 8.5	-0.0631284036148	0.949911032118	1	N/A	N/A
All within SampleDepth	16 vs. 15	-0.0944389159689	0.925116642062	1	N/A	N/A
All within SampleDepth	16 vs. 3	-0.841426408409	0.403889665705	1	N/A	N/A
All within SampleDepth	16 vs. 12.5	-0.271242126579	0.787299706246	1	N/A	N/A
All within SampleDepth	16 vs. 10.8	-0.141776610057	0.887815041142	1	N/A	N/A
All within SampleDepth	16 vs. 9.5	-0.904573119824	0.369785172262	1	N/A	N/A
All within SampleDepth	16 vs. 14	0.0829498556582	0.934203911137	1	N/A	N/A
All within SampleDepth	11.5 vs. 8.5	0.242658516171	[ 0.80926262]	1	N/A	N/A
