# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleNitrogen	All between SampleNitrogen	-0.207839802202	0.835458784349	1	N/A	N/A
All within SampleNitrogen	1 vs. 1	0.585147075996	0.559139478313	1	N/A	N/A
All within SampleNitrogen	10 vs. 10	2.16433210468	0.0322949323704	1	N/A	N/A
All within SampleNitrogen	100 vs. 100	-2.86610622805	0.00482718436839	0.579262124207	N/A	N/A
All within SampleNitrogen	31.6 vs. 31.6	-0.30470215553	[ 0.76114857]	1	N/A	N/A
All within SampleNitrogen	1 vs. 10	2.73641018821	0.00679736404029	0.815683684835	N/A	N/A
All within SampleNitrogen	1 vs. 100	-2.20827629002	0.0283387836829	1	N/A	N/A
All within SampleNitrogen	1 vs. 3.16	-1.00957100825	0.314635683456	1	N/A	N/A
All within SampleNitrogen	1 vs. 31.6	0.966413045682	0.335515972191	1	N/A	N/A
All within SampleNitrogen	10 vs. 100	-0.213072273376	0.831550575499	1	N/A	N/A
All within SampleNitrogen	10 vs. 3.16	0.132870617608	0.89452012484	1	N/A	N/A
All within SampleNitrogen	10 vs. 31.6	1.27522800462	0.204593576547	1	N/A	N/A
All within SampleNitrogen	100 vs. 3.16	-1.067990828	0.287668431326	1	N/A	N/A
All within SampleNitrogen	100 vs. 31.6	-1.11786750473	0.265733744181	1	N/A	N/A
All within SampleNitrogen	3.16 vs. 31.6	-0.864248607468	0.389250428742	1	N/A	N/A
All between SampleNitrogen	1 vs. 1	0.827229744982	0.408644394333	1	N/A	N/A
All between SampleNitrogen	10 vs. 10	2.22860511816	0.026571194188	1	N/A	N/A
All between SampleNitrogen	100 vs. 100	-2.95452232921	0.00337139283471	0.404567140165	N/A	N/A
All between SampleNitrogen	31.6 vs. 31.6	-0.321609626873	[ 0.74798013]	1	N/A	N/A
All between SampleNitrogen	1 vs. 10	3.10256727772	0.00206713945384	0.24805673446	N/A	N/A
All between SampleNitrogen	1 vs. 100	-2.44791244269	0.0148202456594	1	N/A	N/A
All between SampleNitrogen	1 vs. 3.16	-0.937739043013	0.34912785987	1	N/A	N/A
All between SampleNitrogen	1 vs. 31.6	1.09064469382	0.27626281851	1	N/A	N/A
All between SampleNitrogen	10 vs. 100	-0.096962906108	0.922814535532	1	N/A	N/A
All between SampleNitrogen	10 vs. 3.16	0.186693209237	0.852029504717	1	N/A	N/A
All between SampleNitrogen	10 vs. 31.6	1.33840969519	0.181773011148	1	N/A	N/A
All between SampleNitrogen	100 vs. 3.16	-1.03041163037	0.303658026675	1	N/A	N/A
All between SampleNitrogen	100 vs. 31.6	-1.05424952982	0.292608618856	1	N/A	N/A
All between SampleNitrogen	3.16 vs. 31.6	-0.816233707208	0.415034129227	1	N/A	N/A
1 vs. 1	10 vs. 10	2.12607339676	0.0362047629874	1	N/A	N/A
1 vs. 1	100 vs. 100	-3.3192550555	0.00127231184954	0.152677421945	N/A	N/A
1 vs. 1	31.6 vs. 31.6	-0.259997922654	[ 0.79555934]	1	N/A	N/A
1 vs. 1	1 vs. 10	2.20339397902	0.0290519106898	1	N/A	N/A
1 vs. 1	1 vs. 100	-2.58751324132	0.0105183031073	1	N/A	N/A
1 vs. 1	1 vs. 3.16	-1.4346525621	0.154890775707	1	N/A	N/A
1 vs. 1	1 vs. 31.6	0.637444913279	0.525263371739	1	N/A	N/A
1 vs. 1	10 vs. 100	-0.656013825793	0.513092357994	1	N/A	N/A
1 vs. 1	10 vs. 3.16	-0.0719983788306	0.942778518982	1	N/A	N/A
1 vs. 1	10 vs. 31.6	1.14621147547	0.254814915504	1	N/A	N/A
1 vs. 1	100 vs. 3.16	-1.39207611259	0.167618250826	1	N/A	N/A
1 vs. 1	100 vs. 31.6	-1.54384814689	0.126134192871	1	N/A	N/A
1 vs. 1	3.16 vs. 31.6	-1.1350752278	0.259819805727	1	N/A	N/A
10 vs. 10	100 vs. 100	-3.49200741123	0.00135025580756	0.162030696907	N/A	N/A
10 vs. 10	31.6 vs. 31.6	0.513251910361	[ 0.6157785]	1	N/A	N/A
10 vs. 10	1 vs. 10	-1.11039422624	0.269754659243	1	N/A	N/A
10 vs. 10	1 vs. 100	-2.92287786345	0.00425582633724	0.510699160469	N/A	N/A
10 vs. 10	1 vs. 3.16	-3.04761713523	0.00524131289967	0.62895754796	N/A	N/A
