# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePh	All between SamplePh	-0.174700573258	0.861402432702	1	N/A	N/A
All within SamplePh	8.5 vs. 8.5	-3.20594011252	0.00224364453324	1	N/A	N/A
All within SamplePh	5.5 vs. 5.5	0.27061610253	0.787647010623	1	N/A	N/A
All within SamplePh	6.5 vs. 6.5	-1.17082306265	[ 0.24690728]	1	N/A	N/A
All within SamplePh	5 vs. 5	-0.181899230834	0.85621102433	1	N/A	N/A
All within SamplePh	9 vs. 9	0.947883336497	0.346043391016	1	N/A	N/A
All within SamplePh	8 vs. 8	0.431034553978	[ 0.66819133]	1	N/A	N/A
All within SamplePh	8.5 vs. 5.5	-3.19488607115	0.00217234656481	1	N/A	N/A
All within SamplePh	8.5 vs. 5.6	-0.711309588378	0.47989842295	1	N/A	N/A
All within SamplePh	8.5 vs. 5.7	-1.66325063384	0.101951066992	1	N/A	N/A
All within SamplePh	8.5 vs. 3.16	-1.56007098158	0.124479269069	1	N/A	N/A
All within SamplePh	8.5 vs. 6.5	-0.765113240289	0.447306280513	1	N/A	N/A
All within SamplePh	8.5 vs. 5	-2.58736820224	0.011749688876	1	N/A	N/A
All within SamplePh	8.5 vs. 9	-2.02043797831	0.0468615598289	1	N/A	N/A
All within SamplePh	8.5 vs. 8	-1.51527485469	0.135134089598	1	N/A	N/A
All within SamplePh	8.5 vs. 9.0	-1.92089872641	0.0599340634887	1	N/A	N/A
All within SamplePh	5.5 vs. 5.6	0.459932491572	0.647345458002	1	N/A	N/A
All within SamplePh	5.5 vs. 5.7	1.32869534304	0.189337491959	1	N/A	N/A
All within SamplePh	5.5 vs. 3.16	1.01533596697	0.314312524414	1	N/A	N/A
All within SamplePh	5.5 vs. 6.5	1.4872708749	0.142179978007	1	N/A	N/A
All within SamplePh	5.5 vs. 5	-0.562434141967	0.575475517286	1	N/A	N/A
All within SamplePh	5.5 vs. 9	-0.22683879175	0.821100229404	1	N/A	N/A
All within SamplePh	5.5 vs. 8	0.292981386804	0.770547282029	1	N/A	N/A
All within SamplePh	5.5 vs. 9.0	0.0916185003451	0.927328105069	1	N/A	N/A
All within SamplePh	5.6 vs. 5.7	-0.806853892377	[ 0.42335672]	1	N/A	N/A
All within SamplePh	5.6 vs. 3.16	-0.717350081937	[ 0.47630796]	1	N/A	N/A
All within SamplePh	5.6 vs. 6.5	1.21997990215	0.227773854592	1	N/A	N/A
All within SamplePh	5.6 vs. 5	0.671828850797	0.504360016447	1	N/A	N/A
All within SamplePh	5.6 vs. 9	1.07126580941	0.288340234239	1	N/A	N/A
All within SamplePh	5.6 vs. 8	0.58139243639	0.563395087283	1	N/A	N/A
All within SamplePh	5.6 vs. 9.0	-0.074007530801	[ 0.94128301]	1	N/A	N/A
All within SamplePh	5.7 vs. 3.16	-0.597664272948	[ 0.5526092]	1	N/A	N/A
All within SamplePh	5.7 vs. 6.5	0.59680524878	0.553131468469	1	N/A	N/A
All within SamplePh	5.7 vs. 5	-0.284633336023	0.776938891533	1	N/A	N/A
All within SamplePh	5.7 vs. 9	-0.270751342433	0.787511529722	1	N/A	N/A
All within SamplePh	5.7 vs. 8	0.0864001736856	0.931467885664	1	N/A	N/A
All within SamplePh	5.7 vs. 9.0	0.133511647048	[ 0.89429442]	1	N/A	N/A
All within SamplePh	3.16 vs. 6.5	0.78755602872	0.434399766451	1	N/A	N/A
All within SamplePh	3.16 vs. 5	0.753148755729	0.454406867497	1	N/A	N/A
All within SamplePh	3.16 vs. 9	0.18970265262	0.850182458252	1	N/A	N/A
All within SamplePh	3.16 vs. 8	1.05045664406	0.298186672884	1	N/A	N/A
All within SamplePh	3.16 vs. 9.0	-1.3751829924	[ 0.17486009]	1	N/A	N/A
All within SamplePh	6.5 vs. 5	2.05349610388	0.0441155797307	1	N/A	N/A
All within SamplePh	6.5 vs. 9	2.75434346054	0.00753808908175	1	N/A	N/A
All within SamplePh	6.5 vs. 8	1.23486925479	0.222035473821	1	N/A	N/A
All within SamplePh	6.5 vs. 9.0	0.181655474439	0.856533278469	1	N/A	N/A
All within SamplePh	5 vs. 9	0.230566291328	0.818122795212	1	N/A	N/A
All within SamplePh	5 vs. 8	0.412240754909	0.681540563995	1	N/A	N/A
All within SamplePh	5 vs. 9.0	0.104028811272	0.91750537881	1	N/A	N/A
All within SamplePh	9 vs. 8	0.89414572599	0.374397798382	1	N/A	N/A
All within SamplePh	9 vs. 9.0	-0.574667985457	0.567664418821	1	N/A	N/A
All within SamplePh	8 vs. 9.0	0.370252262571	0.712642860092	1	N/A	N/A
All between SamplePh	8.5 vs. 8.5	-3.03348684307	0.00259650048347	1	N/A	N/A
All between SamplePh	5.5 vs. 5.5	0.304158230113	0.761185052012	1	N/A	N/A
All between SamplePh	6.5 vs. 6.5	-1.05214877764	[ 0.29345509]	1	N/A	N/A
All between SamplePh	5 vs. 5	-0.0760796054515	0.939397448242	1	N/A	N/A
All between SamplePh	9 vs. 9	1.03224751893	0.302616163432	1	N/A	N/A
All between SamplePh	8 vs. 8	0.353021640355	[ 0.72428413]	1	N/A	N/A
All between SamplePh	8.5 vs. 5.5	-3.13847238211	0.00183767505843	1	N/A	N/A
All between SamplePh	8.5 vs. 5.6	-0.623717083828	0.533216222137	1	N/A	N/A
