# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePhosphorus	All between SamplePhosphorus	-0.452103427185	0.651437114686	1	N/A	N/A
All within SamplePhosphorus	10 vs. 10	1.68611178081	0.0937112003047	1	N/A	N/A
All within SamplePhosphorus	3.16 vs. 3.16	1.75442073226	[ 0.08164432]	1	N/A	N/A
All within SamplePhosphorus	100 vs. 100	-0.575133803563	0.565744115344	1	N/A	N/A
All within SamplePhosphorus	1000 vs. 1000	-0.757815966651	[ 0.44989181]	1	N/A	N/A
All within SamplePhosphorus	10 vs. 31.6	0.121875542534	0.903171110821	1	N/A	N/A
All within SamplePhosphorus	10 vs. 3.16	-1.04038516669	0.299846237403	1	N/A	N/A
All within SamplePhosphorus	10 vs. 1	1.57458373041	0.117593701715	1	N/A	N/A
All within SamplePhosphorus	10 vs. 100	0.85440204386	0.393690557206	1	N/A	N/A
All within SamplePhosphorus	10 vs. 1000	0.917126524532	0.36055842588	1	N/A	N/A
All within SamplePhosphorus	31.6 vs. 3.16	-0.505659095163	0.613920621719	1	N/A	N/A
All within SamplePhosphorus	31.6 vs. 1	-0.630225744431	[ 0.52962016]	1	N/A	N/A
All within SamplePhosphorus	31.6 vs. 100	-1.30564689042	0.193698581764	1	N/A	N/A
All within SamplePhosphorus	31.6 vs. 1000	-0.681203587115	0.496909516578	1	N/A	N/A
All within SamplePhosphorus	3.16 vs. 1	0.0163862629526	0.986950431225	1	N/A	N/A
All within SamplePhosphorus	3.16 vs. 100	-3.65850693142	0.000342138997661	0.0708227725158	N/A	N/A
All within SamplePhosphorus	3.16 vs. 1000	-0.983350221141	0.327168527114	1	N/A	N/A
All within SamplePhosphorus	1 vs. 100	0.687691288107	0.492723539788	1	N/A	N/A
All within SamplePhosphorus	1 vs. 1000	-0.357602433022	0.721199316964	1	N/A	N/A
All within SamplePhosphorus	100 vs. 1000	-0.173359649557	0.862583835369	1	N/A	N/A
All between SamplePhosphorus	10 vs. 10	2.1263629194	0.0342975372292	1	N/A	N/A
All between SamplePhosphorus	3.16 vs. 3.16	1.88176105725	[ 0.06094411]	1	N/A	N/A
All between SamplePhosphorus	100 vs. 100	-0.295794936744	0.767550851496	1	N/A	N/A
All between SamplePhosphorus	1000 vs. 1000	-0.883189712679	[ 0.37791946]	1	N/A	N/A
All between SamplePhosphorus	10 vs. 31.6	0.272940455573	0.785102358345	1	N/A	N/A
All between SamplePhosphorus	10 vs. 3.16	-0.961663237869	0.33703397708	1	N/A	N/A
All between SamplePhosphorus	10 vs. 1	1.87686041647	0.0615882987682	1	N/A	N/A
All between SamplePhosphorus	10 vs. 100	1.47836563856	0.140119172282	1	N/A	N/A
All between SamplePhosphorus	10 vs. 1000	1.21092533843	0.226927211295	1	N/A	N/A
All between SamplePhosphorus	31.6 vs. 3.16	-0.48941896224	0.624941017313	1	N/A	N/A
All between SamplePhosphorus	31.6 vs. 1	-0.74276477449	[ 0.45826984]	1	N/A	N/A
All between SamplePhosphorus	31.6 vs. 100	-1.27815176736	0.202239562889	1	N/A	N/A
All between SamplePhosphorus	31.6 vs. 1000	-0.680198393887	0.496959516131	1	N/A	N/A
All between SamplePhosphorus	3.16 vs. 1	0.0871786449084	0.930593894425	1	N/A	N/A
All between SamplePhosphorus	3.16 vs. 100	-3.90209192973	0.000117861618939	0.0243973551203	N/A	N/A
All between SamplePhosphorus	3.16 vs. 1000	-0.985283848278	0.325357074087	1	N/A	N/A
All between SamplePhosphorus	1 vs. 100	0.956811339842	0.339476255759	1	N/A	N/A
All between SamplePhosphorus	1 vs. 1000	-0.324083188678	0.746125040328	1	N/A	N/A
All between SamplePhosphorus	100 vs. 1000	0.0634868827598	0.949421225297	1	N/A	N/A
10 vs. 10	3.16 vs. 3.16	4.44864027989	[ 0.00013391]	[ 0.02771957]	N/A	N/A
10 vs. 10	100 vs. 100	-1.92968289091	0.0558079268928	1	N/A	N/A
10 vs. 10	1000 vs. 1000	-0.925965753246	[ 0.36266695]	1	N/A	N/A
10 vs. 10	10 vs. 31.6	-1.52605541965	0.136245746447	1	N/A	N/A
10 vs. 10	10 vs. 3.16	-3.48733840404	0.0011575148396	0.239605571797	N/A	N/A
10 vs. 10	10 vs. 1	1.2117924711	0.233946402546	1	N/A	N/A
10 vs. 10	10 vs. 100	-1.22584765173	0.222229636066	1	N/A	N/A
10 vs. 10	10 vs. 1000	-0.571348171174	0.57080866167	1	N/A	N/A
10 vs. 10	31.6 vs. 3.16	-1.73653326924	0.093461820064	1	N/A	N/A
10 vs. 10	31.6 vs. 1	-0.653002947469	[ 0.51927655]	1	N/A	N/A
10 vs. 10	31.6 vs. 100	-3.11805091177	0.00332375938413	0.688018192515	N/A	N/A
10 vs. 10	31.6 vs. 1000	-2.44355577931	0.021103450063	1	N/A	N/A
10 vs. 10	3.16 vs. 1	-0.778773955971	0.442645129947	1	N/A	N/A
10 vs. 10	3.16 vs. 100	-5.398557021	1.41322587255e-06	0.000292537755617	N/A	N/A
10 vs. 10	3.16 vs. 1000	-3.29457007143	0.00253490190228	0.524724693772	N/A	N/A
10 vs. 10	1 vs. 100	-0.599484971211	0.552148196231	1	N/A	N/A
10 vs. 10	1 vs. 1000	-1.74573367534	0.0918230607531	1	N/A	N/A
10 vs. 10	100 vs. 1000	-2.09054778789	0.041119909395	1	N/A	N/A
3.16 vs. 3.16	100 vs. 100	1.55350623078	[ 0.12334018]	1	N/A	N/A
3.16 vs. 3.16	1000 vs. 1000	N/A	N/A	N/A	N/A	N/A
3.16 vs. 3.16	10 vs. 31.6	3.64719567706	[ 0.00820838]	1	N/A	N/A
3.16 vs. 3.16	10 vs. 3.16	2.17697223064	[ 0.04586456]	1	N/A	N/A
3.16 vs. 3.16	10 vs. 1	3.76343141895	[ 0.00704318]	1	N/A	N/A
3.16 vs. 3.16	10 vs. 100	1.99279526666	[ 0.04857229]	1	N/A	N/A
3.16 vs. 3.16	10 vs. 1000	3.26023862386	[ 0.00527153]	1	N/A	N/A
3.16 vs. 3.16	31.6 vs. 3.16	0.726006151106	[ 0.60022355]	1	N/A	N/A
3.16 vs. 3.16	31.6 vs. 1	N/A	N/A	N/A	N/A	N/A
3.16 vs. 3.16	31.6 vs. 100	1.39434429091	[ 0.18494794]	1	N/A	N/A
3.16 vs. 3.16	31.6 vs. 1000	289.148569363	[ 0.0022017]	[ 0.45575106]	N/A	N/A
3.16 vs. 3.16	3.16 vs. 1	0.867580534714	[ 0.54506365]	1	N/A	N/A
3.16 vs. 3.16	3.16 vs. 100	1.08556955015	[ 0.28661141]	1	N/A	N/A
3.16 vs. 3.16	3.16 vs. 1000	2.21613571073	[ 0.11345078]	1	N/A	N/A
3.16 vs. 3.16	1 vs. 100	1.79306640803	[ 0.09458698]	1	N/A	N/A
3.16 vs. 3.16	1 vs. 1000	6.92571738372	[ 0.0912902]	1	N/A	N/A
3.16 vs. 3.16	100 vs. 1000	2.13788184657	[ 0.04108285]	1	N/A	N/A
100 vs. 100	1000 vs. 1000	-0.773387374038	[ 0.4410475]	1	N/A	N/A
100 vs. 100	10 vs. 31.6	0.313877032291	0.754203546789	1	N/A	N/A
100 vs. 100	10 vs. 3.16	-0.682911920926	0.495989856817	1	N/A	N/A
100 vs. 100	10 vs. 1	1.65772856491	0.100195898065	1	N/A	N/A
100 vs. 100	10 vs. 100	1.3526307499	0.177543533607	1	N/A	N/A
100 vs. 100	10 vs. 1000	1.12831712969	0.261455664387	1	N/A	N/A
100 vs. 100	31.6 vs. 3.16	-0.367834675586	0.713736955399	1	N/A	N/A
100 vs. 100	31.6 vs. 1	-0.655210264274	[ 0.51377906]	1	N/A	N/A
100 vs. 100	31.6 vs. 100	-0.940958266894	0.348648568484	1	N/A	N/A
100 vs. 100	31.6 vs. 1000	-0.52987209462	0.597319281615	1	N/A	N/A
100 vs. 100	3.16 vs. 1	0.115115293096	0.908573592872	1	N/A	N/A
