# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePotassium	All between SamplePotassium	-1.78635838385	0.0747910309622	1	N/A	N/A
All within SamplePotassium	1 vs. 1	1.52607616254	0.128307625036	1	N/A	N/A
All within SamplePotassium	10 vs. 10	-2.48689532519	0.0139389897473	0.919973323321	N/A	N/A
All within SamplePotassium	100 vs. 100	-1.53963563422	0.125828644802	1	N/A	N/A
All within SamplePotassium	3.16 vs. 3.16	-0.180060629082	[ 0.85737299]	1	N/A	N/A
All within SamplePotassium	1 vs. 10	-1.85184507557	0.0652762171841	1	N/A	N/A
All within SamplePotassium	1 vs. 100	-0.822654679522	0.411637534343	1	N/A	N/A
All within SamplePotassium	1 vs. 3.16	1.21643620075	0.225556050323	1	N/A	N/A
All within SamplePotassium	10 vs. 100	-2.61602707874	0.0096966230787	0.639977123194	N/A	N/A
All within SamplePotassium	10 vs. 3.16	-1.52843744785	0.128524099359	1	N/A	N/A
All within SamplePotassium	100 vs. 3.16	-0.524931296954	0.600432630791	1	N/A	N/A
All between SamplePotassium	1 vs. 1	3.11968096089	0.00195171788985	0.12881338073	N/A	N/A
All between SamplePotassium	10 vs. 10	-1.55357310472	0.121384458452	1	N/A	N/A
All between SamplePotassium	100 vs. 100	-0.776511428901	0.438109623767	1	N/A	N/A
All between SamplePotassium	3.16 vs. 3.16	-0.328824061558	[ 0.74254548]	1	N/A	N/A
All between SamplePotassium	1 vs. 10	-0.475731177394	0.634545148282	1	N/A	N/A
All between SamplePotassium	1 vs. 100	0.645615993334	0.518960993451	1	N/A	N/A
All between SamplePotassium	1 vs. 3.16	2.01571396903	0.0447302589819	1	N/A	N/A
All between SamplePotassium	10 vs. 100	-1.42002429306	0.156632086407	1	N/A	N/A
All between SamplePotassium	10 vs. 3.16	-0.728279398263	0.467049026216	1	N/A	N/A
All between SamplePotassium	100 vs. 3.16	0.0989216601146	0.921272019006	1	N/A	N/A
1 vs. 1	10 vs. 10	-3.66514306349	0.000364995573266	0.0240897078355	N/A	N/A
1 vs. 1	100 vs. 100	-2.71223195803	0.00772832428008	0.510069402485	N/A	N/A
1 vs. 1	3.16 vs. 3.16	-0.00659924331957	[ 0.99474725]	1	N/A	N/A
1 vs. 1	1 vs. 10	-3.05191569169	0.00257028729333	0.16963896136	N/A	N/A
1 vs. 1	1 vs. 100	-2.35758137486	0.0194804606702	1	N/A	N/A
1 vs. 1	1 vs. 3.16	0.40924141333	0.683020795561	1	N/A	N/A
1 vs. 1	10 vs. 100	-4.11828805717	6.54164238924e-05	0.0043174839769	N/A	N/A
1 vs. 1	10 vs. 3.16	-2.60432203476	0.0103991978241	0.686347056391	N/A	N/A
1 vs. 1	100 vs. 3.16	-1.38039332972	0.170190163372	1	N/A	N/A
10 vs. 10	100 vs. 100	0.230396003443	0.819401644114	1	N/A	N/A
10 vs. 10	3.16 vs. 3.16	-0.48524656167	[ 0.63277433]	1	N/A	N/A
10 vs. 10	1 vs. 10	1.08689242405	0.279192610825	1	N/A	N/A
10 vs. 10	1 vs. 100	1.8914679113	0.0616407638581	1	N/A	N/A
10 vs. 10	1 vs. 3.16	2.48092983334	0.01658502155	1	N/A	N/A
10 vs. 10	10 vs. 100	0.336274037358	0.73796748142	1	N/A	N/A
10 vs. 10	10 vs. 3.16	0.343542810334	0.733369368866	1	N/A	N/A
10 vs. 10	100 vs. 3.16	0.800769946805	0.429776815449	1	N/A	N/A
100 vs. 100	3.16 vs. 3.16	-0.56171964643	[ 0.58802012]	1	N/A	N/A
100 vs. 100	1 vs. 10	0.519765469301	0.604243748383	1	N/A	N/A
100 vs. 100	1 vs. 100	1.20872756215	0.230199765696	1	N/A	N/A
100 vs. 100	1 vs. 3.16	2.16820507618	0.0364717275935	1	N/A	N/A
100 vs. 100	10 vs. 100	-0.0149203464496	0.988164741703	1	N/A	N/A
100 vs. 100	10 vs. 3.16	0.0970157174118	0.923592319425	1	N/A	N/A
100 vs. 100	100 vs. 3.16	0.636429159932	0.532507143327	1	N/A	N/A
3.16 vs. 3.16	1 vs. 10	-0.339179957718	[ 0.73515809]	1	N/A	N/A
3.16 vs. 3.16	1 vs. 100	-0.312844468994	[ 0.75527881]	1	N/A	N/A
3.16 vs. 3.16	1 vs. 3.16	0.0670882445755	[ 0.94697186]	1	N/A	N/A
3.16 vs. 3.16	10 vs. 100	-0.573993230288	[ 0.56975047]	1	N/A	N/A
3.16 vs. 3.16	10 vs. 3.16	-0.397807643241	[ 0.69722739]	1	N/A	N/A
3.16 vs. 3.16	100 vs. 3.16	-0.28467350833	[ 0.78233603]	1	N/A	N/A
1 vs. 10	1 vs. 100	0.906156810553	0.366077840616	1	N/A	N/A
1 vs. 10	1 vs. 3.16	1.98948086806	0.0486994498565	1	N/A	N/A
1 vs. 10	10 vs. 100	-0.921483732991	0.358406080138	1	N/A	N/A
1 vs. 10	10 vs. 3.16	-0.444801309537	0.657285113322	1	N/A	N/A
1 vs. 10	100 vs. 3.16	0.238700775589	0.811769972212	1	N/A	N/A
1 vs. 100	1 vs. 3.16	1.78746611036	0.0768032297036	1	N/A	N/A
1 vs. 100	10 vs. 100	-1.9024903909	0.059770463108	1	N/A	N/A
1 vs. 100	10 vs. 3.16	-1.10276564469	0.273170114037	1	N/A	N/A
1 vs. 100	100 vs. 3.16	-0.178476832606	0.85878343057	1	N/A	N/A
1 vs. 3.16	10 vs. 100	-2.87353925799	0.00552675373968	0.364765746819	N/A	N/A
1 vs. 3.16	10 vs. 3.16	-1.91502520636	0.0623159660823	1	N/A	N/A
1 vs. 3.16	100 vs. 3.16	-1.19076974257	0.241129408446	1	N/A	N/A
10 vs. 100	10 vs. 3.16	0.152308988847	0.879595200912	1	N/A	N/A
10 vs. 100	100 vs. 3.16	0.798555095737	0.428937073843	1	N/A	N/A
10 vs. 3.16	100 vs. 3.16	0.479959499548	0.635993677344	1	N/A	N/A
